DATE,CCUSMA02FIA618N
1957-01-01,0.4372886087999289
1958-01-01,0.538201364676835
1959-01-01,0.538201364676835
1960-01-01,0.538201364676835
1961-01-01,0.538201364676835
1962-01-01,0.538201364676835
1963-01-01,0.5415492855096571
1964-01-01,0.541368623645316
1965-01-01,0.5413136822560061
1966-01-01,0.5414677143653229
1967-01-01,0.5768418399983399
1968-01-01,0.7078315026077541
1969-01-01,0.7074523789901891
1970-01-01,0.7082659880844459
1971-01-01,0.7079436278920609
1972-01-01,0.700178951953755
1973-01-01,0.6422241956272261
1974-01-01,0.632941623652604
1975-01-01,0.617094116281769
1976-01-01,0.648489195887917
1977-01-01,0.676224786527474
1978-01-01,0.690677735674734
1979-01-01,0.6537787061751321
1980-01-01,0.6256016222286129
1981-01-01,0.72395231535909
1982-01-01,0.8094646634363369
1983-01-01,0.935929370040909
1984-01-01,1.0096643585676899
1985-01-01,1.04214425029951
1986-01-01,0.8527842670286071
1987-01-01,0.7394213998953871
1988-01-01,0.7040654946210699
1989-01-01,0.721209450591713
1990-01-01,0.6429039551633411
1991-01-01,0.68001321957102
1992-01-01,0.754461605219208
1993-01-01,0.9621638834367969
1994-01-01,0.878431524247934
1995-01-01,0.734496296782172
1996-01-01,0.7723596037268199
1997-01-01,0.872421609009042
1998-01-01,0.899007915484446
1999-01-01,0.9385628981113591
2000-01-01,1.0850960701302
2001-01-01,1.1166310883363602
2002-01-01,1.06106513282085
2003-01-01,0.8851632167273091
2004-01-01,0.804862094234843
2005-01-01,0.8046194150770619
2006-01-01,0.7966972207602421
2007-01-01,0.730485427146717
2008-01-01,0.6839823398226831
2009-01-01,0.7198004234895541
2010-01-01,0.755043518257105
2011-01-01,0.7191587544701679
2012-01-01,0.778006210395884
2013-01-01,0.753297658306669
2014-01-01,0.753695140645586
2015-01-01,0.901451643908024
2016-01-01,0.9042815269151141
2017-01-01,0.887107173889516
2018-01-01,0.8473244851464959
2019-01-01,0.8933483711885941
2020-01-01,0.8775415704404291
2021-01-01,0.8455533927316641
2022-01-01,0.9508825237467841
2023-01-01,0.924835342532468
