Year,"co2 kt without LULUCF","co2 kt with LULUCF"
1990,57086,30720
1991,55349,16580
1992,54419,21682
1993,56461,23088
1994,61880,35291
1995,58253,33017
1996,64157,32592
1997,62819,35877
1998,59471,34576
1999,58983,33917
2000,57124,32572
2001,62628,37457
2002,65146,38923
2003,72755,46138
2004,69040,41023
2005,57151,29092
2006,68462,36520
2007,66853,44580
2008,58704,33909
2009,55991,19051
2010,64160,38822
2011,56714,32207
2012,51217,25043
2013,51779,32438
2014,47679,27402
2015,44248,28432
2016,47308,35177
2017,44713,35034
2018,45789,45463
2019,42497,36615
2020,37767,29764
2021,37856,38696
2022,36418,38254
2023,31673,27720
