"Quarter","Transaction","Seasonally and per working day adjusted series, reference year 2015, millions of euro"
"1990Q1","B1GMH Gross domestic product at market prices",35966
"1990Q2","B1GMH Gross domestic product at market prices",35471
"1990Q3","B1GMH Gross domestic product at market prices",34711
"1990Q4","B1GMH Gross domestic product at market prices",34512
"1991Q1","B1GMH Gross domestic product at market prices",33839
"1991Q2","B1GMH Gross domestic product at market prices",33434
"1991Q3","B1GMH Gross domestic product at market prices",32746
"1991Q4","B1GMH Gross domestic product at market prices",32362
"1992Q1","B1GMH Gross domestic product at market prices",32466
"1992Q2","B1GMH Gross domestic product at market prices",32101
"1992Q3","B1GMH Gross domestic product at market prices",31839
"1992Q4","B1GMH Gross domestic product at market prices",31614
"1993Q1","B1GMH Gross domestic product at market prices",31688
"1993Q2","B1GMH Gross domestic product at market prices",31627
"1993Q3","B1GMH Gross domestic product at market prices",31808
"1993Q4","B1GMH Gross domestic product at market prices",32048
"1994Q1","B1GMH Gross domestic product at market prices",32261
"1994Q2","B1GMH Gross domestic product at market prices",32541
"1994Q3","B1GMH Gross domestic product at market prices",33284
"1994Q4","B1GMH Gross domestic product at market prices",34122
"1995Q1","B1GMH Gross domestic product at market prices",33840
"1995Q2","B1GMH Gross domestic product at market prices",34749
"1995Q3","B1GMH Gross domestic product at market prices",34592
"1995Q4","B1GMH Gross domestic product at market prices",34609
"1996Q1","B1GMH Gross domestic product at market prices",35233
"1996Q2","B1GMH Gross domestic product at market prices",35511
"1996Q3","B1GMH Gross domestic product at market prices",35717
"1996Q4","B1GMH Gross domestic product at market prices",36386
"1997Q1","B1GMH Gross domestic product at market prices",36815
"1997Q2","B1GMH Gross domestic product at market prices",37374
"1997Q3","B1GMH Gross domestic product at market prices",38255
"1997Q4","B1GMH Gross domestic product at market prices",39382
"1998Q1","B1GMH Gross domestic product at market prices",39095
"1998Q2","B1GMH Gross domestic product at market prices",39884
"1998Q3","B1GMH Gross domestic product at market prices",40385
"1998Q4","B1GMH Gross domestic product at market prices",40743
"1999Q1","B1GMH Gross domestic product at market prices",41415
"1999Q2","B1GMH Gross domestic product at market prices",41635
"1999Q3","B1GMH Gross domestic product at market prices",41857
"1999Q4","B1GMH Gross domestic product at market prices",42214
"2000Q1","B1GMH Gross domestic product at market prices",43473
"2000Q2","B1GMH Gross domestic product at market prices",43808
"2000Q3","B1GMH Gross domestic product at market prices",44494
"2000Q4","B1GMH Gross domestic product at market prices",44967
"2001Q1","B1GMH Gross domestic product at market prices",45187
"2001Q2","B1GMH Gross domestic product at market prices",45241
"2001Q3","B1GMH Gross domestic product at market prices",45527
"2001Q4","B1GMH Gross domestic product at market prices",45399
"2002Q1","B1GMH Gross domestic product at market prices",45696
"2002Q2","B1GMH Gross domestic product at market prices",46148
"2002Q3","B1GMH Gross domestic product at market prices",46040
"2002Q4","B1GMH Gross domestic product at market prices",46564
"2003Q1","B1GMH Gross domestic product at market prices",46235
"2003Q2","B1GMH Gross domestic product at market prices",46900
"2003Q3","B1GMH Gross domestic product at market prices",47461
"2003Q4","B1GMH Gross domestic product at market prices",47548
"2004Q1","B1GMH Gross domestic product at market prices",48155
"2004Q2","B1GMH Gross domestic product at market prices",48569
"2004Q3","B1GMH Gross domestic product at market prices",49096
"2004Q4","B1GMH Gross domestic product at market prices",49835
"2005Q1","B1GMH Gross domestic product at market prices",50328
"2005Q2","B1GMH Gross domestic product at market prices",49726
"2005Q3","B1GMH Gross domestic product at market prices",50446
"2005Q4","B1GMH Gross domestic product at market prices",50591
"2006Q1","B1GMH Gross domestic product at market prices",51853
"2006Q2","B1GMH Gross domestic product at market prices",51980
"2006Q3","B1GMH Gross domestic product at market prices",52474
"2006Q4","B1GMH Gross domestic product at market prices",52886
"2007Q1","B1GMH Gross domestic product at market prices",53908
"2007Q2","B1GMH Gross domestic product at market prices",54877
"2007Q3","B1GMH Gross domestic product at market prices",55381
"2007Q4","B1GMH Gross domestic product at market prices",56112
"2008Q1","B1GMH Gross domestic product at market prices",56043
"2008Q2","B1GMH Gross domestic product at market prices",55593
"2008Q3","B1GMH Gross domestic product at market prices",55785
"2008Q4","B1GMH Gross domestic product at market prices",54588
"2009Q1","B1GMH Gross domestic product at market prices",51052
"2009Q2","B1GMH Gross domestic product at market prices",50829
"2009Q3","B1GMH Gross domestic product at market prices",51299
"2009Q4","B1GMH Gross domestic product at market prices",50903
"2010Q1","B1GMH Gross domestic product at market prices",51413
"2010Q2","B1GMH Gross domestic product at market prices",52833
"2010Q3","B1GMH Gross domestic product at market prices",52616
"2010Q4","B1GMH Gross domestic product at market prices",53721
"2011Q1","B1GMH Gross domestic product at market prices",54021
"2011Q2","B1GMH Gross domestic product at market prices",53927
"2011Q3","B1GMH Gross domestic product at market prices",53993
"2011Q4","B1GMH Gross domestic product at market prices",54008
"2012Q1","B1GMH Gross domestic product at market prices",53772
"2012Q2","B1GMH Gross domestic product at market prices",53203
"2012Q3","B1GMH Gross domestic product at market prices",52998
"2012Q4","B1GMH Gross domestic product at market prices",52957
"2013Q1","B1GMH Gross domestic product at market prices",52503
"2013Q2","B1GMH Gross domestic product at market prices",52745
"2013Q3","B1GMH Gross domestic product at market prices",52929
"2013Q4","B1GMH Gross domestic product at market prices",52834
"2014Q1","B1GMH Gross domestic product at market prices",52426
"2014Q2","B1GMH Gross domestic product at market prices",52511
"2014Q3","B1GMH Gross domestic product at market prices",52714
"2014Q4","B1GMH Gross domestic product at market prices",52588
"2015Q1","B1GMH Gross domestic product at market prices",52179
"2015Q2","B1GMH Gross domestic product at market prices",52973
"2015Q3","B1GMH Gross domestic product at market prices",52968
"2015Q4","B1GMH Gross domestic product at market prices",53265
"2016Q1","B1GMH Gross domestic product at market prices",53922
"2016Q2","B1GMH Gross domestic product at market prices",54006
"2016Q3","B1GMH Gross domestic product at market prices",54616
"2016Q4","B1GMH Gross domestic product at market prices",54784
"2017Q1","B1GMH Gross domestic product at market prices",55343
"2017Q2","B1GMH Gross domestic product at market prices",56048
"2017Q3","B1GMH Gross domestic product at market prices",56257
"2017Q4","B1GMH Gross domestic product at market prices",56621
"2018Q1","B1GMH Gross domestic product at market prices",56777
"2018Q2","B1GMH Gross domestic product at market prices",56710
"2018Q3","B1GMH Gross domestic product at market prices",56657
"2018Q4","B1GMH Gross domestic product at market prices",56679
"2019Q1","B1GMH Gross domestic product at market prices",57036
"2019Q2","B1GMH Gross domestic product at market prices",57510
"2019Q3","B1GMH Gross domestic product at market prices",57556
"2019Q4","B1GMH Gross domestic product at market prices",57497
"2020Q1","B1GMH Gross domestic product at market prices",57293
"2020Q2","B1GMH Gross domestic product at market prices",53668
"2020Q3","B1GMH Gross domestic product at market prices",56372
"2020Q4","B1GMH Gross domestic product at market prices",56857
"2021Q1","B1GMH Gross domestic product at market prices",56581
"2021Q2","B1GMH Gross domestic product at market prices",57416
"2021Q3","B1GMH Gross domestic product at market prices",58038
"2021Q4","B1GMH Gross domestic product at market prices",58515
"2022Q1","B1GMH Gross domestic product at market prices",58387
"2022Q2","B1GMH Gross domestic product at market prices",58692
"2022Q3","B1GMH Gross domestic product at market prices",58581
"2022Q4","B1GMH Gross domestic product at market prices",57969
"2023Q1","B1GMH Gross domestic product at market prices",58005
"2023Q2","B1GMH Gross domestic product at market prices",58251
"2023Q3","B1GMH Gross domestic product at market prices",57530
"2023Q4","B1GMH Gross domestic product at market prices",57129
"2024Q1","B1GMH Gross domestic product at market prices",57221
