600,1200,3500,7500,inf,year
0.13600208973650446,0.09609826904076002,0.07466692236496811,0.0649820552503366,0.038252262726650166,1985-S1
0.135766330489298,0.09642480374540885,0.07520871083153256,0.06540500920308813,0.03878753109766232,1986-S1
0.13633888866108512,0.09862891300178842,0.07789598162569226,0.06759027129230437,0.040683273244997015,1987-S1
0.1422328698412466,0.10178541514672708,0.07956469010271078,0.06889437931328825,0.04219986696286476,1988-S1
0.14583661833425962,0.1045065376854673,0.08147178550501767,0.07042758739201255,0.04434094044691336,1989-S1
0.1464428563985048,0.10543171934863897,0.08244700474483369,0.07132636454160955,0.045567597130482876,1990-S1
0.14260334865828533,0.10374462337462004,0.08194855935559439,0.0710443952397752,0.046192076896663714,1991-S1
0.14219918994878855,0.10349972234613342,0.08177518704629376,0.07092103367022266,0.04605825980391068,1991-S2
0.14317590683007242,0.10385346827616965,0.0829237785954104,0.0716435800061732,0.04527766009618463,1992-S1
0.14580293844180156,0.10583988772945001,0.08444078630179089,0.07285957262033385,0.04679425381405238,1992-S2
0.1489014885479436,0.1069555479703335,0.08376896860325096,0.07234850326075909,0.0468611623604289,1993-S1
0.14853100973090488,0.10676506939262169,0.08368228244860064,0.07229563401666514,0.04679425381405238,1993-S2
0.1493056472574404,0.10758140615424375,0.08446245784045346,0.07294768802715708,0.0476863677657393,1994-S1
0.14923828747252427,0.10752698370346894,0.08439744322446573,0.07289481878306314,0.04764176206815495,1994-S2
0.153,0.1099,0.0857,0.0735,0.0492,1995-S1
0.1625,0.1163,0.0904,0.0776,0.0518,1995-S2
0.1703,0.1215,0.0939,0.0809,0.0549,1996-S1
0.1677,0.1196,0.0925,0.0796,0.0541,1996-S2
0.1703,0.1214,0.0939,0.081,0.056,1997-S1
0.1703,0.1219,0.0948,0.0822,0.0573,1997-S2
0.167,0.1196,0.093,0.0806,0.0562,1998-S1
0.1632,0.1175,0.0934,0.0804,0.0554,1998-S2
0.1547,0.113,0.0885,0.0754,0.0546,1999-S1
0.1504,0.1107,0.0874,0.0751,0.054,1999-S2
0.1501,0.1103,0.0873,0.0748,0.0541,2000-S1
0.1501,0.1104,0.0871,0.0746,0.0538,2000-S2
0.1533,0.1115,0.0862,0.0737,0.0535,2001-S1
0.1616,0.116,0.0899,0.076,0.0551,2001-S2
0.1687,0.1204,0.0936,0.0789,0.0582,2002-S1
0.1703,0.1214,0.0943,0.0795,0.0589,2002-S2
0.1829,0.1295,0.0991,0.0836,0.0623,2003-S1
0.1944,0.1389,0.106,0.0901,0.0689,2003-S2
0.1975,0.1406,0.1079,0.0912,0.0699,2004-S1
0.1947,0.138,0.106,0.0893,0.0683,2004-S2
0.1942,0.1375,0.1057,0.089,0.0682,2005-S1
0.1925,0.1355,0.1038,0.0872,0.0673,2005-S2
0.1987,0.1408,0.1078,0.091,0.0712,2006-S1
0.2024,0.1436,0.1099,0.0929,0.0736,2006-S2
0.2144,0.1517,0.116,0.0993,0.0777,2007-S1
0.2122,0.1495,0.113,0.0977,0.0762,2007-S2
