30000,50000,160000,1250000,2000000,10000000,24000000,50000000,inf,year
0.07197100495140199,0.07111213929706729,0.06513148823572798,0.0551020040007623,0.043216140159322666,0.043604761298444344,0.039387240154486594,0.03697367066971898,,1985-S1
0.07154940872883073,0.07042467531051771,0.06437316289275703,0.05419413688777644,0.04233299375052468,0.042223033969372846,0.03833245118324624,0.03611636384530026,,1986-S1
0.07069304140173285,0.06904974733741855,0.06288178971824752,0.052378402661804706,0.04068189394277194,0.03893127180305546,0.0358955249393461,0.03409754454908843,,1987-S1
0.07181290636793776,0.07087582355169086,0.0649039906328367,0.05487503722251584,0.0432545378292704,0.04230431204755352,0.03855068338419252,0.036226984080709124,,1988-S1
0.07319626897324971,0.07308859825839734,0.06740646426464081,0.057598638561473445,0.04663353278467136,0.045880547487503275,0.042042398599333015,0.038715939377408644,,1989-S1
0.07364421495973168,0.07384051199368594,0.06824062214190883,0.05899286305641603,0.047708667543208044,0.047018440582032736,0.04327904773802861,0.03968386643723623,,1990-S1
0.07306452015369619,0.07289524901218027,0.06717896666174952,0.05756621473600966,0.04713270249399197,0.04616502076113564,0.04298807147010023,0.03902014502478303,,1991-S1
0.07302499550783013,0.07280931601386156,0.06710313412745242,0.0575013670850821,0.04705590715409649,0.04608374268295497,0.04291532740311814,0.0389648349070786,,1991-S2
0.07299864574391944,0.07276634951470222,0.06712841163888479,0.05717712883044429,0.04690231647430554,0.04592118652659362,0.0427334672356629,0.038577664083147556,,1992-S1
0.07316991920933902,0.07306711500881766,0.06745701928750553,0.057663486212401006,0.04736308851367839,0.046408854995677665,0.04338816383850175,0.03910311020133968,,1992-S2
0.07361786519582098,0.07375457899536725,0.0682658996533412,0.05899286305641603,0.0502813114297065,0.04941614388836269,0.045606857881455604,0.04059648337935939,,1993-S1
0.07356516566799957,0.07366864599704855,0.0681900671190441,0.0588631677545609,0.05012772074991555,0.04929422677109167,0.04553411381447351,0.04054117326165496,,1993-S2
0.07365738984168703,0.07384051199368594,0.0682658996533412,0.059122558358271154,0.05062689045923614,0.049903812357446745,0.045934206182875026,0.040873033967881556,,1994-S1
0.07361786519582098,0.07377606224494691,0.06824062214190883,0.05870104862724199,0.05035810676960198,0.049741256201085396,0.045970578216366076,0.04076241373247269,,1994-S2
0.074,0.0745,0.0706,0.0635,0.0548,0.0543,0.0539,0.0444,,1995-S1
0.0778,0.0783,0.0739,0.0657,0.0566,0.0552,0.0489,0.0482,,1995-S2
0.0805,0.0809,0.0755,0.069,0.0587,0.0584,0.0512,0.054,,1996-S1
0.0793,0.0796,0.0743,0.068,0.0578,0.052748545093770416,0.04877122479517668,0.04300247349950226,,1996-S2
0.0777,0.0783,0.0734,0.0643,0.0557,0.056,0.05,0.0453,,1997-S1
0.075,0.0754,0.0706,0.0616,0.053,0.0535,0.0474,0.0431,,1997-S2
0.0747,0.0751,0.0704,0.0615,0.0532,0.0537,0.0477,0.0435,,1998-S1
0.0754,0.0761,0.0712,0.0621,0.0547,0.0543,0.0488,0.0413,0.0391,1998-S2
0.0724,0.0733,0.0678,0.059,0.0527,0.052,0.0475,0.0395,0.038,1999-S1
0.0716,0.0727,0.0674,0.0581,0.0519,0.0509,0.0467,0.0385,0.0371,1999-S2
0.0711,0.0721,0.0665,0.0577,0.0513,0.0508,0.0464,0.0378,0.0363,2000-S1
0.0707,0.0717,0.0661,0.0574,0.0511,0.0506,0.0462,0.0379,0.0365,2000-S2
0.0697,0.0706,0.0658,0.057,0.0507,0.0502,0.046,0.0376,0.0362,2001-S1
0.0706,0.0715,0.067,0.0579,0.0517,0.0514,0.047,0.0384,0.0371,2001-S2
0.0729,0.0739,0.0691,0.0601,0.0542,0.0539,0.0497,0.0411,0.04,2002-S1
0.0735,0.0744,0.0697,0.0605,0.0545,0.0541,0.0499,0.0413,0.0401,2002-S2
0.0771,0.085,0.0805,0.0806,0.0745,0.0732,0.0689,0.0589,0.0578,2003-S1
0.0833,0.0879,0.083,0.0762,0.0703,0.0702,0.0659,0.0565,0.0555,2003-S2
0.084,0.0892,0.0851,0.0778,0.0718,0.0718,0.0676,0.0583,0.0571,2004-S1
0.0821,0.0861,0.0824,0.0745,0.0687,0.069,0.0648,0.0564,0.0552,2004-S2
0.0818,0.0862,0.0836,0.0757,0.0699,0.0703,0.0661,0.0574,0.0562,2005-S1
0.0794,0.0838,0.0811,0.0727,0.0669,0.0675,0.0633,0.0548,0.0536,2005-S2
0.083,0.0872,0.0826,0.0746,0.0686,0.069,0.0648,0.0565,0.0552,2006-S1
0.0849,0.0886,0.0847,0.0777,0.0719,0.0715,0.0673,0.0586,0.0575,2006-S2
0.0822,0.0861,0.0817,0.0749,0.0689,0.0687,0.0644,0.0553,0.054,2007-S1
0.08062690239606818,0.08408802204319062,0.07964077979790532,0.07303237948223319,0.06740667222639776,0.06738063633850043,0.06221993741477526,0.05309643077381397,,2007-S2
